datetime,fore_gnss,real_gnss,tec_value,xrsb,kp10,dst
2025-01-01 0:00,10.0072058,9.453746825,1.118760714,5.79E-06,33,-22
2025-01-01 1:00,9.892324789,9.865501753,2.472071337,3.61E-06,28,-24
2025-01-01 2:00,13.98244391,13.06913338,6.370532129,4.86E-06,24,-21
2025-01-01 3:00,12.18606637,13.01947417,13.4599877,7.91E-06,20,-25
2025-01-01 4:00,15.05049838,13.80493344,20.91943328,5.21E-06,23,-26
2025-01-01 5:00,11.69462481,12.59327226,33.49204352,4.77E-06,26,-27
2025-01-01 6:00,13.63515888,15.59264554,33.51074167,6.40E-06,30,-25
2025-01-01 7:00,11.52198727,12.24303782,44.20810744,5.89E-06,33,-25
2025-01-01 8:00,12.91890054,12.85236989,43.67965229,4.49E-06,36,-26
2025-01-01 9:00,13.44789059,12.32149522,44.64981117,5.11E-06,40,-24
2025-01-01 10:00,14.00935399,15.3199676,47.17396225,5.80E-06,44,-28
2025-01-01 11:00,12.11286316,13.84371894,46.71432964,6.84E-06,48,-27
2025-01-01 12:00,14.58654544,14.99007756,36.63222673,5.79E-06,53,-27
2025-01-01 13:00,13.73300246,13.21755374,31.12951374,6.70E-06,52,-20
2025-01-01 14:00,13.66731903,13.90662613,25.42981613,4.95E-06,51,-32
2025-01-01 15:00,11.71256782,11.4384363,17.48475523,3.43E-06,50,-39
2025-01-01 16:00,12.82347344,13.46845931,17.76347165,3.22E-06,53,-28
2025-01-01 17:00,12.50755343,12.1481709,13.47145531,4.03E-06,56,-22
2025-01-01 18:00,12.11755162,12.53604187,21.59814623,4.08E-06,60,-50
2025-01-01 19:00,15.01534963,15.72748513,10.8630676,4.90E-06,62,-76
2025-01-01 20:00,14.07242014,12.66383788,10.7192645,4.16E-06,64,-77
2025-01-01 21:00,11.84527768,12.82366001,13.17232345,4.26E-06,67,-117
2025-01-01 22:00,12.05999146,11.0679084,10.52009635,4.43E-06,71,-156
2025-01-01 23:00,9.467892247,8.337123797,8.020261915,4.54E-06,75,-197
2025-01-02 0:00,10.33035829,13.00063168,5.38113756,5.79E-06,80,-210
2025-01-02 1:00,9.272128409,9.029359028,5.174194747,3.61E-06,74,-199
2025-01-02 2:00,13.37039992,12.68225175,5.833603939,4.86E-06,68,-188
2025-01-02 3:00,14.01603635,15.57286047,10.0159036,7.91E-06,63,-154
2025-01-02 4:00,15.79339595,15.13250189,21.9012758,5.21E-06,55,-133
2025-01-02 5:00,11.36967378,13.12460793,29.72623043,4.77E-06,47,-130
2025-01-02 6:00,14.73282805,12.89836555,36.95036282,6.40E-06,40,-145
2025-01-02 7:00,12.29905371,12.00490039,42.89838593,5.89E-06,37,-140
2025-01-02 8:00,14.88848987,15.19679333,39.60857857,4.49E-06,35,-135
2025-01-02 9:00,15.59618154,15.13747091,44.22783161,3.20E-06,33,-126
2025-01-02 10:00,15.53002905,16.25573755,39.33275609,3.42E-06,28,-112
2025-01-02 11:00,13.13625354,13.64852698,37.10063453,3.68E-06,24,-114
2025-01-02 12:00,16.52768527,16.20444297,37.73531075,3.51E-06,20,-108
2025-01-02 13:00,13.98664488,13.49388446,32.1601472,3.28E-06,24,-102
2025-01-02 14:00,14.20947582,14.92448888,24.35084157,3.74E-06,28,-97
2025-01-02 15:00,13.58203014,13.93594324,20.0899525,5.37E-06,33,-96
2025-01-02 16:00,13.2756296,12.7258914,14.92436396,4.57E-06,37,-91
2025-01-02 17:00,12.38672876,14.05139301,14.78767769,3.90E-06,42,-83
2025-01-02 18:00,11.37632057,11.64048046,12.62400968,3.54E-06,47,-93
2025-01-02 19:00,13.29941819,12.70427643,7.17687573,4.14E-06,45,-89
2025-01-02 20:00,11.5080959,10.87719046,10.68313002,3.25E-06,44,-90
2025-01-02 21:00,11.5629786,10.83403268,10.17603279,4.21E-06,43,-92
2025-01-02 22:00,12.59413282,13.16149509,8.111066722,3.43E-06,41,-95
2025-01-02 23:00,11.15284931,11.47234891,9.017653863,3.35E-06,39,-91
2025-01-03 0:00,10.99275616,11.08046011,9.833263786,3.57E-06,37,-82
2025-01-03 1:00,10.76189303,11.8082058,6.83993753,2.95E-06,35,-85
2025-01-03 2:00,13.93763729,13.28235439,10.04262489,6.01E-06,34,-91
2025-01-03 3:00,14.52573175,14.94273137,12.4779658,4.75E-06,33,-88
2025-01-03 4:00,16.19121756,14.95968688,14.50399226,3.37E-06,32,-76
2025-01-03 5:00,13.74665229,14.07503099,20.79023152,2.91E-06,31,-66
2025-01-03 6:00,14.72784148,15.24340954,28.27182123,2.56E-06,30,-60
2025-01-03 7:00,14.22796623,13.48985511,32.00783275,2.39E-06,30,-49
2025-01-03 8:00,16.17249437,15.6390355,40.15227152,2.50E-06,31,-42
2025-01-03 9:00,15.96042787,14.66757916,42.04364544,2.45E-06,31,-35
2025-01-03 10:00,16.95470748,17.45809937,39.02880777,2.76E-06,32,-34
2025-01-03 11:00,13.41873621,13.01773656,30.84219213,2.33E-06,32,-33
2025-01-03 12:00,15.93055038,16.09697763,26.69215531,2.14E-06,33,-27
2025-01-03 13:00,13.69440633,13.32792295,24.68892029,1.97E-06,30,-22
2025-01-03 14:00,15.5583721,15.74190069,23.55514778,2.08E-06,28,-21
2025-01-03 15:00,14.28084356,14.59115949,14.0778855,2.40E-06,26,-50
2025-01-03 16:00,15.0086814,16.01362908,16.03256222,2.61E-06,24,-44
2025-01-03 17:00,13.57022026,14.31022627,13.72073668,4.01E-06,22,-35
2025-01-03 18:00,13.88039841,12.28638055,9.051894401,2.73E-06,20,-37
2025-01-03 19:00,15.18798703,14.87213888,6.587397184,3.11E-06,15,-39
2025-01-03 20:00,12.64722914,13.2125984,5.391582197,2.97E-05,11,-40
2025-01-03 21:00,12.62372177,11.4613574,6.573701779,8.26E-06,7,-38
2025-01-03 22:00,12.09150062,13.4985238,5.96876471,3.95E-06,9,-39
2025-01-03 23:00,11.40035689,11.59321558,6.324958769,2.79E-06,11,-35
2025-01-04 0:00,11.82064556,11.0204238,5.679098036,3.50E-06,13,-28
2025-01-04 1:00,10.191801,10.12420795,4.604159748,3.33E-06,12,-26
2025-01-04 2:00,13.89978404,13.56785124,13.09425645,3.10E-06,11,-28
2025-01-04 3:00,12.98593427,13.82176221,14.03207199,2.53E-06,10,-30
2025-01-04 4:00,14.6398402,14.86689561,18.56610637,1.97E-06,12,-29
2025-01-04 5:00,13.24971098,13.34758635,26.04940265,5.14E-06,14,-27
2025-01-04 6:00,12.95959913,13.0732142,33.87178113,4.62E-06,17,-24
2025-01-04 7:00,12.17423624,12.28174671,40.59988875,3.32E-05,18,-23
2025-01-04 8:00,15.08014911,14.73619764,43.26327519,2.05E-05,19,-19
2025-01-04 9:00,14.93225547,14.68988521,42.5454647,1.59E-05,20,-16
2025-01-04 10:00,15.40161007,17.4275099,44.08204716,3.61E-06,29,-6
